retailer,product_id,name,brand,size_raw,price,was_price,unit_price,unit_measure,is_on_special,result_rank,search_term,category,snapshot_date,fetched_at
coles,9411773,Pauls Smarter White Milk 2% Fat Full Cream Taste Bottle,Pauls,1L,3.5,,3.5,1l,False,25,full cream milk 2l,dairy,2026-09-01,2026-08-31T20:10:12.117867+00:00
coles,5458210,a2 Milk Lactose Free Full Cream Milk,a2 Milk,2L,7.3,,3.65,1l,False,26,full cream milk 2l,dairy,2026-09-01,2026-08-31T20:10:12.117867+00:00
coles,3179657,Australia's Own Full Cream Milk,Australia's Own,1L,1.8,,1.8,1l,False,27,full cream milk 2l,dairy,2026-09-01,2026-08-31T20:10:12.117867+00:00
coles,1104147,a2 Milk Lactose Free Full Cream Milk,a2 Milk,3L,10.5,,3.5,1l,False,28,full cream milk 2l,dairy,2026-09-01,2026-08-31T20:10:12.117867+00:00
coles,5593191,a2 Milk Lactose Free Full Cream Milk,a2 Milk,1L,4.1,,4.1,1l,False,29,full cream milk 2l,dairy,2026-09-01,2026-08-31T20:10:12.117867+00:00
coles,3179680,Australia's Own A2 Protein Full Cream Milk,Australia's Own,1L,3,,3,1l,False,30,full cream milk 2l,dairy,2026-09-01,2026-08-31T20:10:12.117867+00:00
coles,1329781,Devondale High Protein Full Cream Milk,Devondale,1L,2.5,,2.5,1l,False,31,full cream milk 2l,dairy,2026-09-01,2026-08-31T20:10:12.117867+00:00
coles,1973022,Devondale High Protein Full Cream Milk 6x200ml,Devondale,1.2L,5.5,6.9,4.58,1l,True,32,full cream milk 2l,dairy,2026-09-01,2026-08-31T20:10:12.117867+00:00
woolworths,260729,Norco Skim Milk 2L,Norco,2L,5.05,5.05,2.53,1L,False,1,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
woolworths,89926,Dairy Farmers Skim Milk 2L,Dairy Farmers,2L,5.05,5.05,2.53,1L,False,2,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
woolworths,345464,Riverina Fresh Skim Milk 2L,Riverina,2L,5.25,5.25,2.63,1L,False,3,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
woolworths,51379,Woolworths Skim Milk 1L,Woolworths,1L,1.85,1.85,1.85,1L,False,4,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
woolworths,208066,a2 Milk Light 2L,a2,2L,7.3,7.3,3.65,1L,False,5,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
woolworths,888139,Woolworths Lite Milk 2L,Woolworths,2L,3.55,3.55,1.78,1L,False,6,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
woolworths,293187,Norco Reduced Fat Milk 2L,Norco,2L,5.05,5.05,2.53,1L,False,7,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
woolworths,24133,Dairy Farmers Light Milk 2L,Dairy Farmers,2L,5.05,5.05,2.53,1L,False,8,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
woolworths,553273,Norco Lactose Free Lite Milk 2L,Norco,2L,6.65,6.65,3.33,1L,False,9,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
woolworths,513469,Pauls Plus+ Protein Low Fat Milk 2L,Pauls,2L,4.95,5.6,2.48,1L,True,10,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,1079800,Coles Skim Milk,Coles,2L,3.55,,1.78,1l,False,1,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,455849,Devondale Skim Long Life Milk,Devondale,1L,2.35,,2.35,1l,False,2,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,1993267,Coles Skim Milk Bottle,Coles,1L,1.85,,1.85,1l,False,3,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,4824856,Devondale Semi Skim Long Life Milk,Devondale,1L,2.35,,2.35,1l,False,4,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,7910660,Coles Fat Free Instant Skim Milk Powder,Coles,1kg,10,,1,100g,False,5,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,7667244,Coles Australian Skim Long Life Milk,Coles,1L,1.85,,1.85,1l,False,6,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,5994046,Devondale Uht Skim Multipack Milk 6x200ml,Devondale,1.2L,6.25,,5.21,1l,False,7,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
coles,8011598,Coles Multipack Skim Uht Milk 6 Pack,Coles,1200mL,4.5,,3.75,1l,False,8,skim milk 2l,dairy,2026-09-01,2026-08-31T20:10:15.024058+00:00
